CTUID,CSDUID,CSDNAME,METCODE,METNAME_EN,NBHDCODE,NBHDNAME_EN,CMHC_CT,GeographyId
5370140.03,3525005,Hamilton,0610,Hamilton,875,Flamborough,0140.03,06108750140.03
5370140.04,3525005,Hamilton,0610,Hamilton,875,Flamborough,0140.04,06108750140.04
5370141.00,3525005,Hamilton,0610,Hamilton,875,Flamborough,0141.00,06108750141.00
5370142.01,3525005,Hamilton,0610,Hamilton,875,Flamborough,0142.01,06108750142.01
5370142.02,3525005,Hamilton,0610,Hamilton,875,Flamborough,0142.02,06108750142.02
5370143.00,3525005,Hamilton,0610,Hamilton,875,Flamborough,0143.00,06108750143.00
5370144.01,3525005,Hamilton,0610,Hamilton,875,Flamborough,0144.01,06108750144.01
5370144.02,3525005,Hamilton,0610,Hamilton,875,Flamborough,0144.02,06108750144.02
5370200.00,3524002,Burlington,0610,Hamilton,665,Aldershot,0200.00,06106650200.00
5370201.00,3524002,Burlington,0610,Hamilton,665,Aldershot,0201.00,06106650201.00
5370202.00,3524002,Burlington,0610,Hamilton,665,Aldershot,0202.00,06106650202.00
5370203.00,3524002,Burlington,0610,Hamilton,665,Aldershot,0203.00,06106650203.00
5370204.00,3524002,Burlington,0610,Hamilton,665,Aldershot,0204.00,06106650204.00
5370205.01,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0205.01,06107000205.01
5370205.02,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0205.02,06107000205.02
5370206.00,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0206.00,06107000206.00
5370207.01,3524002,Burlington,0610,Hamilton,770,Burlington (Northwest),0207.01,06107700207.01
5370207.02,3524002,Burlington,0610,Hamilton,770,Burlington (Northwest),0207.02,06107700207.02
5370207.03,3524002,Burlington,0610,Hamilton,770,Burlington (Northwest),0207.03,06107700207.03
5370207.04,3524002,Burlington,0610,Hamilton,770,Burlington (Northwest),0207.04,06107700207.04
5370208.00,3524002,Burlington,0610,Hamilton,770,Burlington (Northwest),0208.00,06107700208.00
5370209.00,3524002,Burlington,0610,Hamilton,770,Burlington (Northwest),0209.00,06107700209.00
5370210.00,3524002,Burlington,0610,Hamilton,770,Burlington (Northwest),0210.00,06107700210.00
5370211.00,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0211.00,06107000211.00
5370212.00,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0212.00,06107000212.00
5370213.00,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0213.00,06107000213.00
5370214.00,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0214.00,06107000214.00
5370215.00,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0215.00,06107000215.00
5370216.00,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0216.00,06107000216.00
5370217.01,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0217.01,06107000217.01
5370217.02,3524002,Burlington,0610,Hamilton,700,Burlington (Southwest),0217.02,06107000217.02
5370218.00,3524002,Burlington,0610,Hamilton,735,Burlington (East),0218.00,06107350218.00
5370219.00,3524002,Burlington,0610,Hamilton,735,Burlington (East),0219.00,06107350219.00
5370220.00,3524002,Burlington,0610,Hamilton,735,Burlington (East),0220.00,06107350220.00
5370221.00,3524002,Burlington,0610,Hamilton,735,Burlington (East),0221.00,06107350221.00
